name,image_url,source_page
Patrick Jones,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/10/Jones_HS-e1666974544675.jpg,https://camd.northeastern.edu/people/patrick-jones/
Kathleen Creel,https://cssh.northeastern.edu/wp-content/uploads/2021/08/Kathleen-Creel-400x400.jpeg,https://cssh.northeastern.edu/faculty/kathleen-katie-creel/
Xiaolin Shi,https://cssh.northeastern.edu/wp-content/uploads/2020/08/XiaolinShi16-400x400.jpg,https://cssh.northeastern.edu/faculty/xiaolin-shi/
James Dew,https://cssh.northeastern.edu/wp-content/uploads/2020/01/dew-kurt-400x400.jpg,https://cssh.northeastern.edu/faculty/james-kurt-dew/
Aleks Gollu,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Aleks_Gollu.jpg,https://damore-mckim.northeastern.edu/people/aleks-gollu/
Stephen Warren,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2022/08/stephen.warren-300x300.jpeg,https://camd.northeastern.edu/people/stephen-warren/
Kamila Kehoe,https://cssh.northeastern.edu/wp-content/uploads/2023/08/kamila-kehoe-scaled-e1693254539268-400x400.jpeg,https://cssh.northeastern.edu/faculty/kamila-kehoe/
Patrick Hurley,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/01/patrick-hurley-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/patrick-hurley/
Fabricius Somogyi,https://damore-mckim.northeastern.edu/wp-content/uploads/2022/08/Fabricius-Somogyi_NEU-min-scaled-e1666617483965-1040x1040.jpg,https://damore-mckim.northeastern.edu/people/fabricius-somogyi/
Nan Zhou,https://cssh.northeastern.edu/wp-content/uploads/2024/08/nan-Zhou-400x400.jpeg,https://cssh.northeastern.edu/faculty/nan-zhou/
Felicia Lassk,https://damore-mckim.northeastern.edu/wp-content/uploads/2019/01/Felicia_Lassk.jpg,https://damore-mckim.northeastern.edu/people/felicia-lassk/
Solomon Opare,https://damore-mckim.northeastern.edu/wp-content/uploads/2025/08/solomon-opare-headshot520x520px.jpg,https://damore-mckim.northeastern.edu/people/solomon-opare/
Daniel Nwogwugwu,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2024/12/Daniel_Nwogwugwu_1.1-300x300.jpg,https://camd.northeastern.edu/people/daniel-nwogwugwu/
Ifa Khan,https://damore-mckim.northeastern.edu/wp-content/uploads/2022/02/28ad276.jpeg,https://damore-mckim.northeastern.edu/people/iffat-khan/
Sam Sacco,https://cps.northeastern.edu/wp-content/uploads/2024/06/Samuel20Sacco20File20Photo2028129-1-150x150.jpg,https://cps.northeastern.edu/faculty/sam-sacco/
Panagoula Diamanti-Karanou,https://cssh.northeastern.edu/wp-content/uploads/2020/01/POLS-Diamanti-Karanou-1-400x400.jpg,https://cssh.northeastern.edu/faculty/panagoula-diamanti-karanou/
Laney Strange,https://cssh.northeastern.edu/wp-content/uploads/2021/06/laneystrange-400x400.jpeg,https://cssh.northeastern.edu/faculty/laney-strange/
Robert Durant,https://damore-mckim.northeastern.edu/wp-content/uploads/2023/09/rob-durant-headshot520x520px.png,https://damore-mckim.northeastern.edu/people/rob-durant/
Carolyn Sirois,https://cssh.northeastern.edu/wp-content/uploads/2020/01/Sirois-Carolyn-414-x-512-px-400x400.png,https://cssh.northeastern.edu/faculty/carolyn-sirois/
Jennifer Cullen,https://cssh.northeastern.edu/wp-content/uploads/2024/06/Cullen-headshot-400x400.jpg,https://cssh.northeastern.edu/faculty/jennifer-cullen/
Ivan Rupnik,https://d3tvevvhad9ws1.cloudfront.net/wp-content/uploads/2018/03/IvanRupnik_1-1-300x300.png,https://camd.northeastern.edu/people/ivan-rupnik/
